caller,callee,timestamp,duration,call_type,cell_id
9820033333,9820040006,2026-02-13 05:23:00,60,VOICE,MUM-AND-114
9820022222,9820040008,2026-02-12 20:43:00,60,VOICE,MUM-AND-114
9820040006,9820040000,2026-02-13 03:33:00,60,VOICE,MUM-AND-114
9820011111,9820040001,2026-02-13 01:46:00,60,VOICE,MUM-AND-114
9820022222,9820040003,2026-02-12 20:55:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-13 06:47:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-13 07:23:00,60,VOICE,MUM-AND-114
9820040000,9820040010,2026-02-14 05:57:00,60,VOICE,MUM-AND-114
9820011111,9820040009,2026-02-14 04:45:00,60,VOICE,MUM-AND-114
9820011111,9820040003,2026-02-13 19:55:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-14 06:28:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-14 07:38:00,60,VOICE,MUM-AND-114
9820033333,9820040008,2026-02-14 20:56:00,60,VOICE,MUM-AND-114
9820040001,9820040008,2026-02-15 09:03:00,60,VOICE,MUM-AND-114
9820033333,9820040001,2026-02-15 04:56:00,60,VOICE,MUM-AND-114
9820040007,9820040003,2026-02-15 00:26:00,60,VOICE,MUM-AND-114
9820040005,9820040011,2026-02-14 20:56:00,60,VOICE,MUM-AND-114
9820011111,9820040009,2026-02-14 22:51:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-15 06:54:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-15 07:47:00,60,VOICE,MUM-AND-114
9820040004,9820040009,2026-02-16 02:43:00,60,VOICE,MUM-AND-114
9820040001,9820040003,2026-02-16 07:31:00,60,VOICE,MUM-AND-114
9820040008,9820040003,2026-02-15 20:56:00,60,VOICE,MUM-AND-114
9820040001,9820040008,2026-02-16 03:16:00,60,VOICE,MUM-AND-114
9820040002,9820040011,2026-02-16 02:38:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-16 06:58:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-16 07:24:00,60,VOICE,MUM-AND-114
9820040005,9820040006,2026-02-16 22:08:00,60,VOICE,MUM-AND-114
9820040011,9820040007,2026-02-17 01:22:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-17 06:24:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-17 07:55:00,60,VOICE,MUM-AND-114
9820040002,9820040011,2026-02-18 00:58:00,60,VOICE,MUM-AND-114
9820040004,9820040009,2026-02-18 07:49:00,60,VOICE,MUM-AND-114
9820022222,9820040001,2026-02-17 23:50:00,60,VOICE,MUM-AND-114
9820040008,9820040010,2026-02-17 20:23:00,60,VOICE,MUM-AND-114
9820040008,9820040011,2026-02-18 00:01:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-18 06:56:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-18 07:48:00,60,VOICE,MUM-AND-114
9820040008,9820040006,2026-02-19 05:42:00,60,VOICE,MUM-AND-114
9820011111,9820040007,2026-02-19 00:30:00,60,VOICE,MUM-AND-114
9820040006,9820040001,2026-02-19 02:23:00,60,VOICE,MUM-AND-114
9820040000,9820040004,2026-02-18 22:07:00,60,VOICE,MUM-AND-114
9820040000,9820040006,2026-02-19 02:18:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-19 06:51:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-19 07:25:00,60,VOICE,MUM-AND-114
9820040004,9820040006,2026-02-20 03:37:00,60,VOICE,MUM-AND-114
9820040011,9820040002,2026-02-20 08:47:00,60,VOICE,MUM-AND-114
9820040010,9820040008,2026-02-20 00:05:00,60,VOICE,MUM-AND-114
9820040003,9820040005,2026-02-20 06:16:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-20 06:44:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-20 07:34:00,60,VOICE,MUM-AND-114
9820022222,9820040002,2026-02-20 21:34:00,60,VOICE,MUM-AND-114
9820040007,9820040003,2026-02-20 19:51:00,60,VOICE,MUM-AND-114
9820040010,9820040009,2026-02-20 21:36:00,60,VOICE,MUM-AND-114
9820040001,9820040000,2026-02-20 21:46:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-21 06:54:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-21 07:43:00,60,VOICE,MUM-AND-114
9820033333,9820040011,2026-02-22 08:52:00,60,VOICE,MUM-AND-114
9820040006,9820040010,2026-02-22 06:07:00,60,VOICE,MUM-AND-114
9820011111,9820040007,2026-02-22 09:09:00,60,VOICE,MUM-AND-114
9820040009,9820040008,2026-02-22 01:45:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-22 06:45:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-22 07:45:00,60,VOICE,MUM-AND-114
9820040004,9820040010,2026-02-23 01:23:00,60,VOICE,MUM-AND-114
9820040000,9820040001,2026-02-22 22:48:00,60,VOICE,MUM-AND-114
9820033333,9820040001,2026-02-23 00:58:00,60,VOICE,MUM-AND-114
9820022222,9820033333,2026-02-23 06:23:00,60,VOICE,MUM-AND-114
9820033333,9820022222,2026-02-23 07:26:00,60,VOICE,MUM-AND-114
